app,genre,rank,chart
Bloons TD 5,Games,7,paid-apps
NBA 2K18,Games,8,paid-apps
Geometry Dash,Games,9,paid-apps
R-Play - Remote Play for the PS4,Entertainment,10,paid-apps
Monument Valley 2,Games,11,paid-apps
The Bonfire: Forsaken Lands,Games,12,paid-apps
Scribblenauts Remix,Games,13,paid-apps
My Talking Pet,Entertainment,14,paid-apps
Slayin,Games,15,paid-apps
Papa's Freezeria To Go!,Games,16,paid-apps
The Game of Life,Games,17,paid-apps
7 Minute Workout Challenge,Health & Fitness,18,paid-apps
AutoSleep Tracker for Watch,Health & Fitness,19,paid-apps
Glitché,Photo & Video,20,paid-apps
True Skate,Games,21,paid-apps
Dark Sky Weather,Weather,22,paid-apps
kirakira+,Photo & Video,23,paid-apps
Terraria,Games,24,paid-apps
Forest - Stay focused,Productivity,25,paid-apps
Afterlight 2,Photo & Video,26,paid-apps
Scribblenauts Unlimited,Games,27,paid-apps
PlantSnap Plant Identification,Education,28,paid-apps
Videoshop - Video Editor,Photo & Video,29,paid-apps
Sky Guide AR,Reference,30,paid-apps
Alto's Odyssey,Games,31,paid-apps
Monument Valley 1 and 2,Games,32,paid-apps
Monument Valley,Games,33,paid-apps
SPACE by THIX,Education,34,paid-apps
Five Nights at Freddy's,Games,35,paid-apps
Full Fitness : Exercise Workout Trainer,Health & Fitness,36,paid-apps
Nexomon,Games,37,paid-apps
My Baby's Beat,Lifestyle,38,paid-apps
Toca Hair Salon 3,Education,39,paid-apps
Cute CUT Pro,Photo & Video,40,paid-apps
CamToPlan PRO,Utilities,41,paid-apps
Word Swag - Cool Fonts,Photo & Video,42,paid-apps
Florence,Games,43,paid-apps
1 Second Everyday: Video Diary,Photo & Video,44,paid-apps
Ski Tracks,Navigation,45,paid-apps
Snow Day Calculator,Weather,46,paid-apps
Flick Home Run !,Games,47,paid-apps
NBA JAM by EA SPORTS™,Games,48,paid-apps
Exploding Kittens®,Games,49,paid-apps
Scanner Pro,Business,50,paid-apps
The Escapists,Games,51,paid-apps
Halide Camera,Photo & Video,52,paid-apps
Getting Over It,Games,53,paid-apps
Earn to Die 2,Games,54,paid-apps
TouchRetouch,Photo & Video,55,paid-apps
Trivia Crack (No Ads),Games,56,paid-apps
Five Nights at Freddy's: Sister Location,Games,57,paid-apps
Five Nights at Freddy's 2,Games,58,paid-apps
Couch to 5K® - Run training,Health & Fitness,59,paid-apps
TonalEnergy Tuner & Metronome,Music,60,paid-apps
Farming Simulator 18,Games,61,paid-apps
Papa's Cupcakeria To Go!,Games,62,paid-apps
My Macros+ | Diet & Calories,Health & Fitness,63,paid-apps
Assassin's Creed Identity,Games,64,paid-apps
Toca Kitchen 2,Education,65,paid-apps
Goat Simulator,Games,66,paid-apps
8mm Vintage Camera,Photo & Video,67,paid-apps
Zombieville USA 2,Games,68,paid-apps
Toca Life: Pets,Education,69,paid-apps
Toca Life: Hospital,Education,70,paid-apps
Camera+,Photo & Video,71,paid-apps
Stylebook,Lifestyle,72,paid-apps
ProCam 5,Photo & Video,73,paid-apps
Papa's Burgeria To Go!,Games,74,paid-apps
"Tiny Scanner+ - PDF scanner to scan document, receipt & fax",Business,75,paid-apps
Bully: Anniversary Edition,Games,76,paid-apps
Baldur's Gate,Games,77,paid-apps
Superimpose,Photo & Video,78,paid-apps
Procreate Pocket,Entertainment,79,paid-apps
The Room: Old Sins,Games,80,paid-apps
AdBlock,Utilities,81,paid-apps
Infinite Flight,Games,82,paid-apps
